CD4 T
Mono/DC
Progenitor cells
CD4 T
MAIT
CD4 T
Mono/DC
Mono/DC
CD4 T
NK
CD4 T
Mono/DC
B cell
Mono/DC
CD8 T
CD8 T
Progenitor cells
CD8 T
Mono/DC
NK
CD8 T
CD8 T
Mono/DC
CD4 T
CD8 T
NK
CD8 T
CD4 T
CD8 T
CD4 T
CD4 T
Mono/DC
CD4 T
NK
CD4 T
Mono/DC
CD4 T
Mono/DC
CD4 T
CD4 T
CD4 T
CD4 T
gdT
Progenitor cells
CD4 T
CD4 T
Mono/DC
CD4 T
CD4 T
CD4 T
CD8 T
CD8 T
Progenitor cells
CD4 T
CD4 T
Mono/DC
Mono/DC
Progenitor cells
Mono/DC
CD4 T
NK
CD4 T
Mono/DC
CD4 T
CD8 T
CD4 T
NK
B cell
Progenitor cells
CD4 T
CD4 T
CD8 T
B cell
CD4 T
CD4 T
Mono/DC
Mono/DC
CD4 T
Mono/DC
CD8 T
CD4 T
Mono/DC
CD4 T
CD4 T
CD8 T
Progenitor cells
Mono/DC
CD4 T
Progenitor cells
CD4 T
CD4 T
CD8 T
CD4 T
B cell
CD8 T
Mono/DC
B cell
CD4 T
Mono/DC
CD4 T
gdT
CD4 T
CD4 T
B cell
CD8 T
Mono/DC
CD4 T
Mono/DC
Mono/DC
NK
CD4 T
Mono/DC
Mono/DC
MAIT
B cell
CD4 T
MAIT
NK
CD4 T
CD8 T
CD8 T
Mono/DC
Progenitor cells
NK
CD8 T
CD8 T
CD8 T
CD4 T
Mono/DC
MAIT
NK
Mono/DC
B cell
CD8 T
Mono/DC
Progenitor cells
Mono/DC
CD4 T
MAIT
Progenitor cells
CD4 T
CD8 T
CD8 T
CD8 T
CD8 T
B cell
gdT
CD4 T
Mono/DC
CD8 T
Mono/DC
Mono/DC
CD4 T
CD4 T
B cell
CD4 T
Progenitor cells
B cell
CD8 T
CD4 T
CD8 T
CD8 T
Mono/DC
NK
Mono/DC
NK
CD8 T
CD4 T
Progenitor cells
Mono/DC
NK
CD8 T
Mono/DC
Progenitor cells
CD4 T
CD4 T
CD8 T
Mono/DC
Progenitor cells
Progenitor cells
CD4 T
Progenitor cells
B cell
gdT
Mono/DC
Mono/DC
NK
Mono/DC
Mono/DC
CD8 T
CD8 T
CD4 T
CD4 T
Mono/DC
MAIT
CD8 T
CD4 T
B cell
Mono/DC
CD4 T
CD8 T
B cell
NK
MAIT
MAIT
CD4 T
B cell
CD8 T
B cell
B cell
CD8 T
CD8 T
CD4 T
Mono/DC
CD8 T
CD4 T
Progenitor cells
B cell
CD4 T
B cell
B cell
Mono/DC
Mono/DC
B cell
MAIT
CD4 T
MAIT
Mono/DC
CD4 T
CD4 T
MAIT
CD8 T
Progenitor cells
Progenitor cells
B cell
Mono/DC
Mono/DC
Progenitor cells
B cell
Progenitor cells
B cell
CD8 T
CD4 T
Mono/DC
Mono/DC
CD4 T
Mono/DC
CD8 T
Mono/DC
Progenitor cells
NK
CD4 T
Progenitor cells
Mono/DC
Progenitor cells
Mono/DC
Mono/DC
Mono/DC
CD4 T
CD4 T
Mono/DC
CD4 T
CD4 T
CD8 T
Mono/DC
Mono/DC
B cell
Progenitor cells
NK
Progenitor cells
Mono/DC
CD8 T
CD4 T
CD4 T
CD4 T
CD8 T
gdT
CD8 T
Progenitor cells
CD8 T
Mono/DC
CD4 T
Progenitor cells
CD8 T
B cell
B cell
Mono/DC
CD8 T
MAIT
Progenitor cells
NK
MAIT
CD4 T
Mono/DC
Mono/DC
Mono/DC
Mono/DC
CD4 T
CD4 T
Progenitor cells
Mono/DC
Mono/DC
Progenitor cells
Mono/DC
CD8 T
Progenitor cells
B cell
Progenitor cells
Mono/DC
B cell
CD4 T
CD8 T
CD8 T
B cell
CD4 T
B cell
CD4 T
CD4 T
Mono/DC
CD4 T
B cell
CD8 T
B cell
B cell
CD4 T
CD8 T
B cell
CD4 T
Mono/DC
B cell
CD4 T
CD8 T
Mono/DC
CD4 T
Mono/DC
CD4 T
Progenitor cells
CD4 T
CD4 T
Progenitor cells
CD8 T
CD8 T
CD4 T
Mono/DC
CD8 T
CD4 T
Mono/DC
NK
B cell
NK
Mono/DC
CD4 T
CD4 T
CD4 T
Mono/DC
CD8 T
Mono/DC
Progenitor cells
CD4 T
Mono/DC
Mono/DC
CD8 T
Progenitor cells
MAIT
Mono/DC
gdT
B cell
Progenitor cells
CD4 T
CD4 T
Progenitor cells
MAIT
CD8 T
Mono/DC
CD8 T
B cell
B cell
CD4 T
CD4 T
Mono/DC
Mono/DC
CD4 T
CD4 T
CD4 T
CD4 T
Mono/DC
CD4 T
CD4 T
CD8 T
CD8 T
B cell
CD4 T
CD8 T
Mono/DC
CD4 T
CD4 T
Mono/DC
NK
Mono/DC
NK
B cell
CD4 T
Mono/DC
Mono/DC
CD4 T
CD4 T
B cell
CD8 T
CD8 T
Progenitor cells
CD4 T
Mono/DC
Progenitor cells
CD4 T
Mono/DC
B cell
CD8 T
CD4 T
Mono/DC
CD8 T
CD8 T
CD8 T
CD8 T
CD8 T
NK
CD4 T
Mono/DC
B cell
Progenitor cells
CD4 T
Mono/DC
CD4 T
CD4 T
Mono/DC
B cell
CD8 T
CD8 T
Mono/DC
CD4 T
CD4 T
B cell
CD4 T
B cell
gdT
CD4 T
CD4 T
Mono/DC
B cell
CD4 T
CD4 T
B cell
Progenitor cells
B cell
B cell
CD4 T
Mono/DC
CD4 T
CD4 T
CD8 T
CD4 T
CD4 T
Mono/DC
B cell
NK
CD4 T
CD8 T
CD4 T
CD8 T
Mono/DC
CD8 T
NK
CD8 T
Mono/DC
Progenitor cells
CD8 T
NK
NK
CD4 T
Mono/DC
NK
Mono/DC
CD4 T
B cell
Mono/DC
CD4 T
Mono/DC
Mono/DC
Mono/DC
CD4 T
CD4 T
CD4 T
Mono/DC
CD8 T
Mono/DC
CD8 T
Mono/DC
CD8 T
B cell
Progenitor cells
Mono/DC
Mono/DC
Mono/DC
CD8 T
CD4 T
Mono/DC
CD8 T
Mono/DC
CD4 T
CD4 T
CD8 T
B cell
NK
CD4 T
CD4 T
CD4 T
Mono/DC
CD4 T
CD8 T
CD4 T
Mono/DC
Mono/DC
Mono/DC
Mono/DC
Mono/DC
Progenitor cells
Progenitor cells
MAIT
Mono/DC
Mono/DC
Mono/DC
CD4 T
Mono/DC
B cell
CD4 T
B cell
CD8 T
CD4 T
NK
CD4 T
NK
Mono/DC
Progenitor cells
B cell
Mono/DC
CD8 T
CD4 T
Mono/DC
CD4 T
CD4 T
CD4 T
Mono/DC
B cell
CD4 T
Progenitor cells
CD4 T
CD8 T
CD4 T
CD4 T
CD4 T
CD4 T
Mono/DC
Mono/DC
CD4 T
Mono/DC
Mono/DC
B cell
B cell
NK
CD4 T
Progenitor cells
Mono/DC
Mono/DC
Mono/DC
B cell
CD8 T
CD4 T
Mono/DC
CD8 T
Mono/DC
CD8 T
CD4 T
CD4 T
CD4 T
CD4 T
CD4 T
CD4 T
CD4 T
CD4 T
Mono/DC
Mono/DC
CD8 T
CD4 T
Mono/DC
Mono/DC
CD8 T
CD4 T
CD4 T
Mono/DC
B cell
Mono/DC
NK
B cell
B cell
CD4 T
CD8 T
Mono/DC
Mono/DC
Mono/DC
CD4 T
B cell
Progenitor cells
CD8 T
Progenitor cells
Mono/DC
gdT
B cell
Mono/DC
CD4 T
Progenitor cells
Mono/DC
Mono/DC
Mono/DC
CD4 T
Progenitor cells
CD4 T
Progenitor cells
CD4 T
CD8 T
Progenitor cells
CD8 T
CD8 T
CD4 T
CD4 T
NK
B cell
CD8 T
CD4 T
CD4 T
CD4 T
Mono/DC
